company_id,display_name,name_kana,legal_name,securities_code,corporate_number,website_url,edinet_code,sec_cik,ticker,exchange,country_code,is_active
kawasaki-heavy-industries,川崎重工業,かわさきじゅうこうぎょう,川崎重工業株式会社,7012,1140001005719,https://www.khi.co.jp/,E02127,,,,,true
ihi,IHI,あいえいちあい,株式会社ＩＨＩ,7013,4010601031604,https://www.ihi.co.jp/,E02128,,,,,true
sumitomo-heavy-industries,住友重機械工業,すみともじゅうきかいこうぎょう,住友重機械工業株式会社,6302,9010701005032,https://www.shi.co.jp/,E01533,,,,,false
mitsui-e-and-s,三井E&S,みついいーあんどえす,株式会社三井Ｅ＆Ｓ,7003,9010001034946,https://www.mes.co.jp/,E02123,,,,,true
kanadevia,カナデビア,かなでびあ,カナデビア株式会社,7004,3120001031541,https://www.kanadevia.com/,E02124,,,,,true
aws-japan,AWS,えーだぶりゅーえす,アマゾン ウェブ サービス ジャパン合同会社,,,https://aws.amazon.com/jp/,,,,,JP,false
amazon-com,Amazon.com,あまぞんどっとこむ,"Amazon.com, Inc.",,,https://www.aboutamazon.com/,,0001018724,AMZN,NASDAQ,US,false
toto,TOTO,とーとー,TOTO株式会社,5332,1290801002603,https://jp.toto.com/,E01138,,,,,true
kyocera,京セラ,きょうせら,京セラ株式会社,6971,4130001000049,https://www.kyocera.co.jp/,E01182,,,,,true
toshiba,東芝,とうしば,株式会社東芝,,,https://www.global.toshiba/jp/,,,,,,true
